employee_id,base_hourly_rate,kiwisaver_employer_rate,kiwisaver_employer_cost_per_hour,leave_loading_rate,leave_loading_cost_per_hour,insurance_monthly_cost,insurance_cost_per_hour,flexibility_premium_rate,flexibility_premium_cost_per_hour,fully_loaded_cost_per_hour
321,26.28,0.03,0.79,0.08,2.1,23.52,0.15,0.0352,0.92,30.24
322,26.51,0.03,0.8,0.08,2.12,0.0,0.0,0.0425,1.13,30.55
323,25.51,0.03,0.77,0.08,2.04,53.06,0.33,0.0337,0.86,29.51
324,26.14,0.03,0.78,0.08,2.09,0.0,0.0,0.0286,0.75,29.76
325,26.78,0.03,0.8,0.08,2.14,44.82,0.28,0.0584,1.56,31.57
326,24.88,0.03,0.75,0.08,1.99,0.0,0.0,0.0511,1.27,28.89
327,27.76,0.03,0.83,0.08,2.22,0.0,0.0,0.0272,0.75,31.57
328,26.27,0.03,0.79,0.08,2.1,43.91,0.27,0.0447,1.17,30.61
329,28.69,0.03,0.86,0.08,2.3,51.88,0.32,0.0274,0.79,32.96
330,26.46,0.03,0.79,0.08,2.12,23.88,0.15,0.0215,0.57,30.09
331,28.41,0.03,0.85,0.08,2.27,0.0,0.0,0.0508,1.44,32.98
332,27.01,0.03,0.81,0.08,2.16,0.0,0.0,0.0147,0.4,30.38
333,28.06,0.03,0.84,0.08,2.24,63.4,0.4,0.0494,1.39,32.93
334,26.34,0.03,0.79,0.08,2.11,62.35,0.39,0.0338,0.89,30.52
335,26.25,0.03,0.79,0.08,2.1,0.0,0.0,0.0344,0.9,30.04
336,25.45,0.03,0.76,0.08,2.04,60.65,0.38,0.0426,1.08,29.71
337,26.32,0.03,0.79,0.08,2.11,0.0,0.0,0.0449,1.18,30.4
338,24.86,0.03,0.75,0.08,1.99,45.95,0.29,0.0263,0.65,28.54
339,25.22,0.03,0.76,0.08,2.02,0.0,0.0,0.0467,1.18,29.17
340,24.71,0.03,0.74,0.08,1.98,0.0,0.0,0.0387,0.96,28.38
341,26.92,0.03,0.81,0.08,2.15,53.36,0.33,0.0206,0.56,30.77
342,28.96,0.03,0.87,0.08,2.32,38.11,0.24,0.035,1.01,33.4
343,26.64,0.03,0.8,0.08,2.13,38.68,0.24,0.0554,1.48,31.29
344,26.87,0.03,0.81,0.08,2.15,29.16,0.18,0.0593,1.59,31.6
345,45.15,0.03,1.35,0.08,3.61,65.44,0.41,0.0467,2.11,52.63
346,26.08,0.03,0.78,0.08,2.09,0.0,0.0,0.0215,0.56,29.51
347,27.52,0.03,0.83,0.08,2.2,0.0,0.0,0.0437,1.2,31.75
348,27.53,0.03,0.83,0.08,2.2,35.07,0.22,0.0484,1.33,32.11
349,27.13,0.03,0.81,0.08,2.17,0.0,0.0,0.0468,1.27,31.38
350,26.79,0.03,0.8,0.08,2.14,30.05,0.19,0.0476,1.27,31.2
351,25.66,0.03,0.77,0.08,2.05,0.0,0.0,0.042,1.08,29.56
352,27.44,0.03,0.82,0.08,2.2,55.44,0.35,0.0362,0.99,31.8
353,25.34,0.03,0.76,0.08,2.03,0.0,0.0,0.0292,0.74,28.87
354,26.99,0.03,0.81,0.08,2.16,0.0,0.0,0.0529,1.43,31.39
355,27.67,0.03,0.83,0.08,2.21,0.0,0.0,0.0417,1.15,31.87
356,25.86,0.03,0.78,0.08,2.07,0.0,0.0,0.0397,1.03,29.73
357,28.36,0.03,0.85,0.08,2.27,43.69,0.27,0.0446,1.26,33.02
358,33.35,0.03,1.0,0.08,2.67,0.0,0.0,0.0196,0.65,37.67
359,26.82,0.03,0.8,0.08,2.15,36.61,0.23,0.0457,1.23,31.23
360,27.65,0.03,0.83,0.08,2.21,0.0,0.0,0.06,1.66,32.35
361,24.83,0.03,0.74,0.08,1.99,39.75,0.25,0.0382,0.95,28.76
362,24.74,0.03,0.74,0.08,1.98,30.9,0.19,0.0364,0.9,28.55
363,26.75,0.03,0.8,0.08,2.14,32.71,0.2,0.0413,1.1,31.0
364,25.53,0.03,0.77,0.08,2.04,46.5,0.29,0.06,1.53,30.16
365,27.61,0.03,0.83,0.08,2.21,0.0,0.0,0.0237,0.65,31.3
366,27.67,0.03,0.83,0.08,2.21,0.0,0.0,0.0399,1.1,31.82
367,28.14,0.03,0.84,0.08,2.25,0.0,0.0,0.0266,0.75,31.99
368,25.98,0.03,0.78,0.08,2.08,40.47,0.25,0.03,0.78,29.87
369,26.98,0.03,0.81,0.08,2.16,0.0,0.0,0.0365,0.99,30.93
370,27.34,0.03,0.82,0.08,2.19,48.38,0.3,0.055,1.5,32.15
371,24.82,0.03,0.74,0.08,1.99,33.78,0.21,0.06,1.49,29.25
372,29.96,0.03,0.9,0.08,2.4,0.0,0.0,0.0431,1.29,34.55
373,35.75,0.03,1.07,0.08,2.86,42.03,0.26,0.0322,1.15,41.1
374,25.88,0.03,0.78,0.08,2.07,11.19,0.07,0.06,1.55,30.35
375,27.6,0.03,0.83,0.08,2.21,31.55,0.2,0.0316,0.87,31.7
376,26.16,0.03,0.78,0.08,2.09,48.18,0.3,0.0296,0.78,30.11
377,26.5,0.03,0.79,0.08,2.12,0.0,0.0,0.0138,0.37,29.78
378,25.6,0.03,0.77,0.08,2.05,53.67,0.34,0.0556,1.42,30.18
379,24.99,0.03,0.75,0.08,2.0,53.32,0.33,0.05,1.25,29.32
380,25.93,0.03,0.78,0.08,2.07,44.17,0.28,0.06,1.56,30.61
381,45.75,0.03,1.37,0.08,3.66,52.2,0.33,0.0188,0.86,51.97
382,26.61,0.03,0.8,0.08,2.13,0.0,0.0,0.0565,1.5,31.04
383,26.7,0.03,0.8,0.08,2.14,0.0,0.0,0.0381,1.02,30.65
384,27.76,0.03,0.83,0.08,2.22,0.0,0.0,0.0478,1.33,32.14
385,24.85,0.03,0.75,0.08,1.99,0.0,0.0,0.0154,0.38,27.97
386,26.14,0.03,0.78,0.08,2.09,59.74,0.37,0.0566,1.48,30.87
387,25.31,0.03,0.76,0.08,2.02,0.0,0.0,0.0476,1.2,29.3
388,29.43,0.03,0.88,0.08,2.35,60.39,0.38,0.0367,1.08,34.12
389,26.62,0.03,0.8,0.08,2.13,50.46,0.32,0.0457,1.22,31.08
390,27.9,0.03,0.84,0.08,2.23,0.0,0.0,0.0271,0.76,31.73
391,24.51,0.03,0.74,0.08,1.96,50.3,0.31,0.0296,0.73,28.25
392,25.65,0.03,0.77,0.08,2.05,0.0,0.0,0.0311,0.8,29.27
393,26.72,0.03,0.8,0.08,2.14,0.0,0.0,0.0127,0.34,30.0
394,25.64,0.03,0.77,0.08,2.05,0.0,0.0,0.0541,1.39,29.85
395,46.79,0.03,1.4,0.08,3.74,59.42,0.37,0.0529,2.48,54.78
396,28.44,0.03,0.85,0.08,2.28,57.1,0.36,0.028,0.8,32.72
397,25.84,0.03,0.78,0.08,2.07,0.0,0.0,0.0418,1.08,29.76
398,28.62,0.03,0.86,0.08,2.29,28.81,0.18,0.0337,0.97,32.91
399,47.61,0.03,1.43,0.08,3.81,42.53,0.27,0.0415,1.98,55.09
400,25.88,0.03,0.78,0.08,2.07,0.0,0.0,0.0289,0.75,29.48
401,27.89,0.03,0.84,0.08,2.23,0.0,0.0,0.0256,0.71,31.67
402,27.26,0.03,0.82,0.08,2.18,0.0,0.0,0.0511,1.39,31.65
403,26.12,0.03,0.78,0.08,2.09,51.62,0.32,0.0364,0.95,30.27
404,27.16,0.03,0.81,0.08,2.17,56.73,0.35,0.06,1.63,32.13
405,24.84,0.03,0.75,0.08,1.99,0.0,0.0,0.0378,0.94,28.51
406,42.38,0.03,1.27,0.08,3.39,27.2,0.17,0.025,1.06,48.27
407,28.81,0.03,0.86,0.08,2.3,50.06,0.31,0.0534,1.54,33.83
408,31.69,0.03,0.95,0.08,2.54,59.3,0.37,0.0455,1.44,36.99
409,27.23,0.03,0.82,0.08,2.18,54.78,0.34,0.0468,1.27,31.84
410,27.16,0.03,0.81,0.08,2.17,66.33,0.41,0.0529,1.44,32.0
411,28.91,0.03,0.87,0.08,2.31,37.06,0.23,0.0286,0.83,33.15
412,29.29,0.03,0.88,0.08,2.34,0.0,0.0,0.0355,1.04,33.55
413,25.31,0.03,0.76,0.08,2.02,66.39,0.41,0.0349,0.88,29.39
414,26.29,0.03,0.79,0.08,2.1,0.0,0.0,0.0202,0.53,29.71
415,26.05,0.03,0.78,0.08,2.08,46.71,0.29,0.0337,0.88,30.09
416,26.1,0.03,0.78,0.08,2.09,0.0,0.0,0.0548,1.43,30.4
417,27.59,0.03,0.83,0.08,2.21,55.36,0.35,0.0561,1.55,32.52
418,25.81,0.03,0.77,0.08,2.06,36.49,0.23,0.0194,0.5,29.38
419,27.01,0.03,0.81,0.08,2.16,34.6,0.22,0.0167,0.45,30.65
420,25.73,0.03,0.77,0.08,2.06,36.79,0.23,0.0592,1.52,30.31
421,25.14,0.03,0.75,0.08,2.01,35.78,0.22,0.036,0.91,29.03
422,32.39,0.03,0.97,0.08,2.59,0.0,0.0,0.0287,0.93,36.88
423,39.18,0.03,1.18,0.08,3.13,0.0,0.0,0.0336,1.32,44.81
424,24.56,0.03,0.74,0.08,1.96,55.11,0.34,0.0177,0.43,28.04
425,27.87,0.03,0.84,0.08,2.23,39.29,0.25,0.056,1.56,32.74
426,26.95,0.03,0.81,0.08,2.16,0.0,0.0,0.032,0.86,30.78
427,32.34,0.03,0.97,0.08,2.59,0.0,0.0,0.0581,1.88,37.78
428,33.21,0.03,1.0,0.08,2.66,20.84,0.13,0.0379,1.26,38.25
429,27.67,0.03,0.83,0.08,2.21,0.0,0.0,0.0532,1.47,32.18
430,30.02,0.03,0.9,0.08,2.4,20.13,0.13,0.0522,1.57,35.02
431,26.64,0.03,0.8,0.08,2.13,0.0,0.0,0.0485,1.29,30.86
432,26.33,0.03,0.79,0.08,2.11,51.92,0.32,0.0467,1.23,30.78
433,25.97,0.03,0.78,0.08,2.08,46.22,0.29,0.0454,1.18,30.3
434,25.28,0.03,0.76,0.08,2.02,31.04,0.19,0.0418,1.06,29.31
435,24.9,0.03,0.75,0.08,1.99,0.0,0.0,0.0341,0.85,28.49
436,26.48,0.03,0.79,0.08,2.12,59.88,0.37,0.06,1.59,31.36
437,28.51,0.03,0.86,0.08,2.28,0.0,0.0,0.0252,0.72,32.36
438,28.69,0.03,0.86,0.08,2.3,0.0,0.0,0.0373,1.07,32.91
439,26.24,0.03,0.79,0.08,2.1,0.0,0.0,0.0374,0.98,30.11
440,25.22,0.03,0.76,0.08,2.02,52.78,0.33,0.0425,1.07,29.4
441,26.09,0.03,0.78,0.08,2.09,79.49,0.5,0.0316,0.82,30.28
442,31.28,0.03,0.94,0.08,2.5,76.3,0.48,0.0413,1.29,36.49
443,27.72,0.03,0.83,0.08,2.22,0.0,0.0,0.035,0.97,31.74
444,46.0,0.03,1.38,0.08,3.68,0.0,0.0,0.0163,0.75,51.81
445,28.21,0.03,0.85,0.08,2.26,7.11,0.04,0.0373,1.05,32.41
446,27.48,0.03,0.82,0.08,2.2,0.0,0.0,0.0227,0.62,31.13
447,33.79,0.03,1.01,0.08,2.7,38.09,0.24,0.0143,0.48,38.23
448,26.13,0.03,0.78,0.08,2.09,22.76,0.14,0.039,1.02,30.17
449,24.64,0.03,0.74,0.08,1.97,36.88,0.23,0.0577,1.42,29.0
450,25.38,0.03,0.76,0.08,2.03,0.0,0.0,0.0442,1.12,29.29
451,26.76,0.03,0.8,0.08,2.14,50.16,0.31,0.0447,1.2,31.21
452,25.9,0.03,0.78,0.08,2.07,33.62,0.21,0.0117,0.3,29.26
453,25.76,0.03,0.77,0.08,2.06,0.0,0.0,0.0193,0.5,29.09
454,29.74,0.03,0.89,0.08,2.38,28.17,0.18,0.06,1.78,34.97
455,25.57,0.03,0.77,0.08,2.05,30.31,0.19,0.0234,0.6,29.17
456,29.32,0.03,0.88,0.08,2.35,53.84,0.34,0.0452,1.33,34.21
457,27.16,0.03,0.81,0.08,2.17,28.14,0.18,0.0281,0.76,31.09
458,27.24,0.03,0.82,0.08,2.18,73.8,0.46,0.0383,1.04,31.74
459,28.22,0.03,0.85,0.08,2.26,34.56,0.22,0.0289,0.81,32.35
460,25.66,0.03,0.77,0.08,2.05,0.0,0.0,0.0446,1.15,29.63
461,26.44,0.03,0.79,0.08,2.12,38.47,0.24,0.0527,1.39,30.98
462,25.06,0.03,0.75,0.08,2.0,0.0,0.0,0.0313,0.78,28.6
463,27.78,0.03,0.83,0.08,2.22,59.25,0.37,0.0233,0.65,31.85
464,26.06,0.03,0.78,0.08,2.08,25.56,0.16,0.0407,1.06,30.15
465,25.27,0.03,0.76,0.08,2.02,31.9,0.2,0.0212,0.54,28.78
466,32.27,0.03,0.97,0.08,2.58,33.86,0.21,0.0428,1.38,37.41
467,31.94,0.03,0.96,0.08,2.56,37.93,0.24,0.06,1.92,37.61
468,30.71,0.03,0.92,0.08,2.46,47.71,0.3,0.055,1.69,36.08
469,26.4,0.03,0.79,0.08,2.11,0.0,0.0,0.0467,1.23,30.54
470,24.98,0.03,0.75,0.08,2.0,0.0,0.0,0.0361,0.9,28.63
471,27.36,0.03,0.82,0.08,2.19,45.26,0.28,0.0116,0.32,30.97
472,29.62,0.03,0.89,0.08,2.37,62.51,0.39,0.0197,0.58,33.85
473,25.32,0.03,0.76,0.08,2.03,68.95,0.43,0.0541,1.37,29.91
474,34.59,0.03,1.04,0.08,2.77,0.0,0.0,0.0268,0.93,39.32
475,25.66,0.03,0.77,0.08,2.05,54.72,0.34,0.028,0.72,29.54
476,37.3,0.03,1.12,0.08,2.98,24.49,0.15,0.035,1.31,42.86
477,26.09,0.03,0.78,0.08,2.09,59.69,0.37,0.0232,0.6,29.94
478,25.17,0.03,0.76,0.08,2.01,37.98,0.24,0.021,0.53,28.7
479,25.87,0.03,0.78,0.08,2.07,31.76,0.2,0.0559,1.45,30.36
480,26.4,0.03,0.79,0.08,2.11,0.0,0.0,0.0254,0.67,29.98
481,24.95,0.03,0.75,0.08,2.0,0.0,0.0,0.0274,0.68,28.38
482,26.91,0.03,0.81,0.08,2.15,45.65,0.29,0.0269,0.72,30.88
483,27.33,0.03,0.82,0.08,2.19,34.58,0.22,0.0441,1.21,31.76
484,30.56,0.03,0.92,0.08,2.44,64.01,0.4,0.0341,1.04,35.36
485,27.65,0.03,0.83,0.08,2.21,69.05,0.43,0.0349,0.96,32.09
486,25.44,0.03,0.76,0.08,2.04,16.61,0.1,0.0451,1.15,29.49
487,28.26,0.03,0.85,0.08,2.26,41.37,0.26,0.0353,1.0,32.63
488,27.02,0.03,0.81,0.08,2.16,0.0,0.0,0.0335,0.91,30.9
489,27.16,0.03,0.81,0.08,2.17,0.0,0.0,0.0434,1.18,31.33
490,45.49,0.03,1.36,0.08,3.64,0.0,0.0,0.046,2.09,52.59
491,28.34,0.03,0.85,0.08,2.27,0.0,0.0,0.0353,1.0,32.46
492,28.5,0.03,0.85,0.08,2.28,48.67,0.3,0.0541,1.54,33.48
493,30.26,0.03,0.91,0.08,2.42,70.57,0.44,0.0269,0.81,34.84
494,25.56,0.03,0.77,0.08,2.04,55.19,0.34,0.0259,0.66,29.38
495,25.02,0.03,0.75,0.08,2.0,0.0,0.0,0.0473,1.18,28.96
496,28.49,0.03,0.85,0.08,2.28,80.31,0.5,0.0431,1.23,33.35
497,24.72,0.03,0.74,0.08,1.98,0.0,0.0,0.0432,1.07,28.51
498,32.96,0.03,0.99,0.08,2.64,47.37,0.3,0.0409,1.35,38.23
499,27.88,0.03,0.84,0.08,2.23,42.17,0.26,0.0565,1.58,32.79
500,32.41,0.03,0.97,0.08,2.59,49.23,0.31,0.0464,1.5,37.79
501,26.64,0.03,0.8,0.08,2.13,0.0,0.0,0.0496,1.32,30.89
502,27.08,0.03,0.81,0.08,2.17,28.74,0.18,0.0492,1.33,31.57
503,25.14,0.03,0.75,0.08,2.01,0.0,0.0,0.0359,0.9,28.81
504,24.5,0.03,0.73,0.08,1.96,16.57,0.1,0.0536,1.31,28.61
505,31.59,0.03,0.95,0.08,2.53,0.0,0.0,0.055,1.74,36.8
506,25.74,0.03,0.77,0.08,2.06,0.0,0.0,0.0455,1.17,29.74
507,24.93,0.03,0.75,0.08,1.99,58.31,0.36,0.0409,1.02,29.06
508,25.15,0.03,0.75,0.08,2.01,0.0,0.0,0.0404,1.02,28.93
509,25.66,0.03,0.77,0.08,2.05,58.48,0.37,0.0275,0.71,29.55
510,28.42,0.03,0.85,0.08,2.27,0.0,0.0,0.0464,1.32,32.87
511,24.67,0.03,0.74,0.08,1.97,27.79,0.17,0.06,1.48,29.04
512,29.54,0.03,0.89,0.08,2.36,49.78,0.31,0.0323,0.95,34.05
513,25.59,0.03,0.77,0.08,2.05,0.0,0.0,0.0382,0.98,29.38
514,29.42,0.03,0.88,0.08,2.35,55.41,0.35,0.0313,0.92,33.92
515,27.39,0.03,0.82,0.08,2.19,57.88,0.36,0.0308,0.84,31.61
516,24.93,0.03,0.75,0.08,1.99,0.0,0.0,0.0576,1.44,29.11
517,43.44,0.03,1.3,0.08,3.48,0.0,0.0,0.0283,1.23,49.45
518,27.8,0.03,0.83,0.08,2.22,59.29,0.37,0.031,0.86,32.09
519,43.05,0.03,1.29,0.08,3.44,0.0,0.0,0.0163,0.7,48.49
520,24.84,0.03,0.75,0.08,1.99,0.0,0.0,0.0272,0.68,28.25
521,25.16,0.03,0.75,0.08,2.01,0.0,0.0,0.0146,0.37,28.3
522,25.34,0.03,0.76,0.08,2.03,0.0,0.0,0.0455,1.15,29.28
523,26.61,0.03,0.8,0.08,2.13,55.16,0.34,0.06,1.6,31.48
524,28.45,0.03,0.85,0.08,2.28,0.0,0.0,0.0323,0.92,32.5
525,28.02,0.03,0.84,0.08,2.24,55.57,0.35,0.0152,0.43,31.87
526,28.2,0.03,0.85,0.08,2.26,31.74,0.2,0.0491,1.38,32.88
527,33.91,0.03,1.02,0.08,2.71,54.24,0.34,0.0276,0.94,38.92
528,27.37,0.03,0.82,0.08,2.19,30.07,0.19,0.0544,1.49,32.06
529,24.64,0.03,0.74,0.08,1.97,0.0,0.0,0.0335,0.82,28.18
530,27.53,0.03,0.83,0.08,2.2,0.0,0.0,0.0289,0.79,31.35
531,26.64,0.03,0.8,0.08,2.13,68.39,0.43,0.0349,0.93,30.93
532,24.51,0.03,0.74,0.08,1.96,28.03,0.18,0.0472,1.16,28.54
533,26.28,0.03,0.79,0.08,2.1,14.01,0.09,0.0342,0.9,30.16
534,27.31,0.03,0.82,0.08,2.18,37.66,0.24,0.0307,0.84,31.39
535,29.54,0.03,0.89,0.08,2.36,40.07,0.25,0.0346,1.02,34.06
536,30.95,0.03,0.93,0.08,2.48,0.0,0.0,0.0204,0.63,34.99
537,25.78,0.03,0.77,0.08,2.06,0.0,0.0,0.0424,1.09,29.71
538,24.67,0.03,0.74,0.08,1.97,30.85,0.19,0.0136,0.34,27.91
539,24.78,0.03,0.74,0.08,1.98,56.26,0.35,0.0533,1.32,29.18
540,28.27,0.03,0.85,0.08,2.26,0.0,0.0,0.0472,1.33,32.71
541,27.52,0.03,0.83,0.08,2.2,37.93,0.24,0.0412,1.13,31.92
542,25.64,0.03,0.77,0.08,2.05,38.13,0.24,0.0522,1.34,30.04
543,26.01,0.03,0.78,0.08,2.08,37.25,0.23,0.0364,0.95,30.05
544,25.18,0.03,0.76,0.08,2.01,54.41,0.34,0.0526,1.32,29.61
545,24.59,0.03,0.74,0.08,1.97,49.41,0.31,0.0494,1.21,28.82
546,26.44,0.03,0.79,0.08,2.12,0.0,0.0,0.0431,1.14,30.49
547,43.2,0.03,1.3,0.08,3.46,53.16,0.33,0.0494,2.14,50.42
548,27.92,0.03,0.84,0.08,2.23,0.0,0.0,0.0471,1.32,32.31
549,25.86,0.03,0.78,0.08,2.07,49.12,0.31,0.0314,0.81,29.82
550,40.88,0.03,1.23,0.08,3.27,0.0,0.0,0.0194,0.79,46.17
551,24.78,0.03,0.74,0.08,1.98,46.22,0.29,0.0427,1.06,28.85
552,24.96,0.03,0.75,0.08,2.0,34.32,0.21,0.0444,1.11,29.03
553,29.62,0.03,0.89,0.08,2.37,61.08,0.38,0.0516,1.53,34.79
554,27.17,0.03,0.82,0.08,2.17,32.14,0.2,0.0248,0.67,31.03
555,27.73,0.03,0.83,0.08,2.22,47.82,0.3,0.0253,0.7,31.78
556,29.13,0.03,0.87,0.08,2.33,0.0,0.0,0.0433,1.26,33.59
557,26.77,0.03,0.8,0.08,2.14,43.53,0.27,0.0362,0.97,30.96
558,28.25,0.03,0.85,0.08,2.26,34.65,0.22,0.0123,0.35,31.92
559,25.96,0.03,0.78,0.08,2.08,58.46,0.37,0.0422,1.09,30.28
560,24.51,0.03,0.74,0.08,1.96,0.0,0.0,0.0127,0.31,27.52
561,24.72,0.03,0.74,0.08,1.98,0.0,0.0,0.0525,1.3,28.74
562,24.83,0.03,0.74,0.08,1.99,0.0,0.0,0.055,1.37,28.93
563,24.83,0.03,0.74,0.08,1.99,40.26,0.25,0.06,1.49,29.3
564,25.73,0.03,0.77,0.08,2.06,0.0,0.0,0.0212,0.54,29.11
565,43.22,0.03,1.3,0.08,3.46,0.0,0.0,0.0329,1.42,49.4
566,26.87,0.03,0.81,0.08,2.15,40.57,0.25,0.0377,1.01,31.09
567,26.27,0.03,0.79,0.08,2.1,36.99,0.23,0.06,1.58,30.97
568,25.01,0.03,0.75,0.08,2.0,0.0,0.0,0.0307,0.77,28.53
569,26.74,0.03,0.8,0.08,2.14,73.39,0.46,0.0309,0.83,30.97
570,25.74,0.03,0.77,0.08,2.06,0.0,0.0,0.0577,1.48,30.06
571,25.06,0.03,0.75,0.08,2.0,14.97,0.09,0.0323,0.81,28.72
572,25.48,0.03,0.76,0.08,2.04,74.47,0.47,0.0467,1.19,29.94
573,37.29,0.03,1.12,0.08,2.98,64.67,0.4,0.0177,0.66,42.46
574,26.01,0.03,0.78,0.08,2.08,0.0,0.0,0.0349,0.91,29.78
575,27.34,0.03,0.82,0.08,2.19,0.0,0.0,0.0153,0.42,30.77
576,27.16,0.03,0.81,0.08,2.17,76.18,0.48,0.0233,0.63,31.26
577,26.93,0.03,0.81,0.08,2.15,13.94,0.09,0.0483,1.3,31.28
578,25.63,0.03,0.77,0.08,2.05,61.56,0.38,0.0365,0.94,29.77
579,27.33,0.03,0.82,0.08,2.19,35.86,0.22,0.0518,1.42,31.98
580,42.83,0.03,1.28,0.08,3.43,0.0,0.0,0.0273,1.17,48.71
581,29.17,0.03,0.88,0.08,2.33,24.67,0.15,0.0343,1.0,33.53
582,31.89,0.03,0.96,0.08,2.55,65.55,0.41,0.0412,1.31,37.12
583,27.18,0.03,0.82,0.08,2.17,36.39,0.23,0.0502,1.36,31.76
584,26.92,0.03,0.81,0.08,2.15,0.0,0.0,0.0025,0.07,29.95
585,24.89,0.03,0.75,0.08,1.99,41.18,0.26,0.0262,0.65,28.54
586,26.05,0.03,0.78,0.08,2.08,0.0,0.0,0.0393,1.02,29.94
587,24.8,0.03,0.74,0.08,1.98,41.38,0.26,0.0359,0.89,28.68
588,25.4,0.03,0.76,0.08,2.03,42.44,0.27,0.0425,1.08,29.54
589,25.6,0.03,0.77,0.08,2.05,0.0,0.0,0.0407,1.04,29.46
590,33.72,0.03,1.01,0.08,2.7,54.04,0.34,0.0332,1.12,38.89
591,25.5,0.03,0.77,0.08,2.04,0.0,0.0,0.0302,0.77,29.08
592,26.45,0.03,0.79,0.08,2.12,22.66,0.14,0.034,0.9,30.4
593,25.47,0.03,0.76,0.08,2.04,0.0,0.0,0.0524,1.33,29.61
594,27.19,0.03,0.82,0.08,2.18,0.0,0.0,0.0275,0.75,30.93
595,27.6,0.03,0.83,0.08,2.21,0.0,0.0,0.0364,1.0,31.64
596,27.26,0.03,0.82,0.08,2.18,32.17,0.2,0.0396,1.08,31.54
597,25.4,0.03,0.76,0.08,2.03,0.0,0.0,0.0578,1.47,29.66
598,25.52,0.03,0.77,0.08,2.04,0.0,0.0,0.0332,0.85,29.18
599,26.45,0.03,0.79,0.08,2.12,25.54,0.16,0.0499,1.32,30.84
600,25.54,0.03,0.77,0.08,2.04,17.23,0.11,0.0535,1.37,29.82
601,27.31,0.03,0.82,0.08,2.18,0.0,0.0,0.0364,0.99,31.31
602,27.58,0.03,0.83,0.08,2.21,49.01,0.31,0.0344,0.95,31.87
603,39.56,0.03,1.19,0.08,3.16,0.0,0.0,0.0329,1.3,45.21
604,29.37,0.03,0.88,0.08,2.35,0.0,0.0,0.0338,0.99,33.59
605,26.16,0.03,0.78,0.08,2.09,42.73,0.27,0.0563,1.47,30.78
606,25.31,0.03,0.76,0.08,2.02,32.81,0.21,0.0403,1.02,29.32
607,25.97,0.03,0.78,0.08,2.08,46.94,0.29,0.0403,1.05,30.17
608,25.17,0.03,0.76,0.08,2.01,55.79,0.35,0.0592,1.49,29.78
609,28.92,0.03,0.87,0.08,2.31,0.0,0.0,0.0244,0.71,32.81
610,25.06,0.03,0.75,0.08,2.0,43.05,0.27,0.06,1.5,29.59
611,25.43,0.03,0.76,0.08,2.03,65.26,0.41,0.0349,0.89,29.52
612,26.2,0.03,0.79,0.08,2.1,0.0,0.0,0.027,0.71,29.79
613,24.63,0.03,0.74,0.08,1.97,33.56,0.21,0.0561,1.38,28.93
614,25.36,0.03,0.76,0.08,2.03,0.0,0.0,0.0409,1.04,29.19
615,26.59,0.03,0.8,0.08,2.13,35.8,0.22,0.0448,1.19,30.93
616,25.32,0.03,0.76,0.08,2.03,58.42,0.37,0.0354,0.9,29.37
617,27.15,0.03,0.81,0.08,2.17,50.37,0.31,0.033,0.9,31.35
618,25.52,0.03,0.77,0.08,2.04,0.0,0.0,0.035,0.89,29.22
619,25.18,0.03,0.76,0.08,2.01,0.0,0.0,0.019,0.48,28.43
620,25.07,0.03,0.75,0.08,2.01,0.0,0.0,0.0361,0.9,28.73
621,27.17,0.03,0.82,0.08,2.17,0.0,0.0,0.0411,1.12,31.28
622,27.83,0.03,0.83,0.08,2.23,0.0,0.0,0.0514,1.43,32.32
623,25.49,0.03,0.76,0.08,2.04,0.0,0.0,0.0383,0.98,29.27
624,27.38,0.03,0.82,0.08,2.19,32.75,0.2,0.0064,0.17,30.77
625,26.58,0.03,0.8,0.08,2.13,0.0,0.0,0.0359,0.96,30.46
626,27.89,0.03,0.84,0.08,2.23,0.0,0.0,0.06,1.67,32.63
627,32.26,0.03,0.97,0.08,2.58,0.0,0.0,0.0487,1.57,37.38
628,26.96,0.03,0.81,0.08,2.16,36.54,0.23,0.0265,0.71,30.87
629,32.92,0.03,0.99,0.08,2.63,46.83,0.29,0.045,1.48,38.32
630,27.16,0.03,0.81,0.08,2.17,0.0,0.0,0.0274,0.74,30.89
631,27.4,0.03,0.82,0.08,2.19,18.92,0.12,0.0193,0.53,31.06
632,26.13,0.03,0.78,0.08,2.09,29.77,0.19,0.0326,0.85,30.04
633,24.87,0.03,0.75,0.08,1.99,0.0,0.0,0.0384,0.96,28.56
634,28.16,0.03,0.84,0.08,2.25,58.27,0.36,0.0125,0.35,31.97
635,24.6,0.03,0.74,0.08,1.97,41.65,0.26,0.022,0.54,28.11
636,26.02,0.03,0.78,0.08,2.08,49.0,0.31,0.0373,0.97,30.16
637,25.42,0.03,0.76,0.08,2.03,41.41,0.26,0.0318,0.81,29.28
638,25.17,0.03,0.76,0.08,2.01,0.0,0.0,0.0424,1.07,29.01
639,26.74,0.03,0.8,0.08,2.14,0.0,0.0,0.0212,0.57,30.25
640,27.2,0.03,0.82,0.08,2.18,0.0,0.0,0.0466,1.27,31.46
641,26.89,0.03,0.81,0.08,2.15,0.0,0.0,0.0216,0.58,30.43
642,24.82,0.03,0.74,0.08,1.99,0.0,0.0,0.0589,1.46,29.01
643,26.52,0.03,0.8,0.08,2.12,45.68,0.29,0.0146,0.39,30.11
